id,name,description,price
1,Зимняя куртка Арктика,Теплая куртка с водоотталкивающей пропиткой для температур до -30°C,8990
2,Спиннинг телескопический Fisher,Углепластиковый спиннинг длиной 2.4м для ловли с берега и лодки. Тест 10-30г,3200
3,Термос Охотник 1л,Металлический термос с двойными стенками сохраняет тепло 24 часа,1500
4,Набор складной мебели Picnic,Стол и 4 стула в сумке для кемпинга и выездов на природу,4200
5,Беспроводная мышь OfficePro,Эргономичная мышь с Bluetooth и USB-ресивером до 10м,1200
6,Палатка Горная 4-местная,Двухслойная палатка с тамбуром и влагозащитой 3000мм,12500
7,Спрей AquaStop,Водоотталкивающая пропитка для ткани палаток и тентов 400мл,650
8,Книга Сказки народов мира,Иллюстрированный сборник сказок 256 страниц,890
9,Перчатки рыбацкие Polar,Утеплённые непромокаемые перчатки с откидным клапаном для пальцев,1100
10,Дождевик туристический,Лёгкий дождевик из ПВХ в компрессионном мешочке,450
